Date,Currency,Mean,Buy,Sell
10/11/2023,SA RAND,8.1305,8.1246,8.1365
10/11/2023,US DOLLAR,151.6794,151.5794,151.7794
10/11/2023,KES / BIF,18.7314,18.6169,18.846
10/11/2023,CAN $,109.9007,109.8242,109.9771
10/11/2023,KES / TSHS,16.4822,16.4383,16.526
10/11/2023,DAN KRONER,21.6978,21.6824,21.7132
10/11/2023,KES / USHS,24.8221,24.7728,24.8715
10/11/2023,STG POUND,186.0982,185.9459,186.2506
10/11/2023,S FRANC,167.852,167.6949,168.0091
10/11/2023,EURO,162.3056,162.1741,162.4371
10/11/2023,SINGAPORE DOLLAR,111.4757,111.3654,111.5861
10/11/2023,CHINESE YUAN,20.7989,20.7851,20.8128
10/11/2023,JPY (100),100.1945,100.1251,100.2638
10/11/2023,KES / RWF,8.1062,8.0448,8.1675
10/11/2023,NOR KRONER,13.5201,13.5085,13.5316
10/11/2023,HONGKONG DOLLAR,19.4274,19.4146,19.4402
10/11/2023,AE DIRHAM,41.2969,41.2641,41.3298
10/11/2023,IND RUPEE,1.8211,1.8198,1.8224
10/11/2023,AUSTRALIAN $,96.4454,96.359,96.5317
10/11/2023,SAUDI RIYAL,40.4381,40.4104,40.4659
10/11/2023,SW KRONER,13.8806,13.8691,13.8921
9/11/2023,KES / USHS,24.8132,24.7638,24.8626
9/11/2023,S FRANC,168.4816,168.333,168.6303
9/11/2023,JPY (100),100.3891,100.3129,100.4654
9/11/2023,AE DIRHAM,41.2557,41.2274,41.2841
9/11/2023,CAN $,109.8737,109.7972,109.9502
9/11/2023,IND RUPEE,1.8199,1.8186,1.8212
9/11/2023,SA RAND,8.2029,8.1948,8.2109
9/11/2023,DAN KRONER,21.7584,21.7425,21.7744
9/11/2023,NOR KRONER,13.5583,13.5458,13.5708
9/11/2023,KES / BIF,18.7483,18.6336,18.8629
9/11/2023,KES / TSHS,16.5839,16.54,16.6279
9/11/2023,SW KRONER,13.9105,13.899,13.9221
9/11/2023,STG POUND,185.7997,185.6565,185.9428
9/11/2023,US DOLLAR,151.5324,151.4324,151.6324
9/11/2023,AUSTRALIAN $,97.1929,97.1136,97.2722
9/11/2023,EURO,161.6738,161.5425,161.8051
9/11/2023,CHINESE YUAN,20.8025,20.7886,20.8163
9/11/2023,SAUDI RIYAL,40.3957,40.368,40.4234
9/11/2023,HONGKONG DOLLAR,19.4028,19.39,19.4157
9/11/2023,SINGAPORE DOLLAR,111.7701,111.6758,111.8645
9/11/2023,KES / RWF,8.1104,8.0489,8.1718
8/11/2023,KES / TSHS,16.5016,16.4577,16.5455
8/11/2023,KES / RWF,8.1392,8.0532,8.2252
8/11/2023,KES / BIF,18.7576,18.6271,18.8881
8/11/2023,STG POUND,186.2768,186.1271,186.4265
8/11/2023,EURO,161.7406,161.6082,161.8729
8/11/2023,JPY (100),100.5209,100.4445,100.5973
8/11/2023,IND RUPEE,1.8179,1.8161,1.8197
8/11/2023,CAN $,110.0941,109.9974,110.1909
8/11/2023,DAN KRONER,21.6662,21.6503,21.682
8/11/2023,US DOLLAR,151.3794,151.2794,151.4794
8/11/2023,KES / USHS,24.8383,24.7888,24.8877
8/11/2023,S FRANC,168.0034,167.8644,168.1423
8/11/2023,SW KRONER,13.8432,13.8318,13.8546
8/11/2023,AE DIRHAM,41.2147,41.1858,41.2436
8/11/2023,SA RAND,8.2171,8.2107,8.2235
8/11/2023,NOR KRONER,13.5526,13.5409,13.5643
8/11/2023,HONGKONG DOLLAR,19.3597,19.3469,19.3725
8/11/2023,SAUDI RIYAL,40.3528,40.325,40.3805
8/11/2023,SINGAPORE DOLLAR,111.6409,111.563,111.7187
8/11/2023,CHINESE YUAN,20.7833,20.7682,20.7985
8/11/2023,AUSTRALIAN $,97.0494,96.9701,97.1286
7/11/2023,STG POUND,187.4759,187.3247,187.6271
7/11/2023,CAN $,110.7093,110.6159,110.8028
7/11/2023,EURO,162.4885,162.3512,162.6259
7/11/2023,AE DIRHAM,41.1837,41.1553,41.212
7/11/2023,KES / RWF,8.0851,8.0169,8.1532
7/11/2023,JPY (100),100.9764,100.8928,101.06
7/11/2023,SA RAND,8.2585,8.2497,8.2674
7/11/2023,KES / BIF,18.7086,18.5781,18.8392
7/11/2023,KES / TSHS,16.5402,16.4963,16.5842
7/11/2023,SW KRONER,13.9273,13.9165,13.9382
7/11/2023,SINGAPORE DOLLAR,112.046,111.9512,112.1408
7/11/2023,AUSTRALIAN $,98.3013,98.2287,98.3738
7/11/2023,S FRANC,168.4589,168.3381,168.5796
7/11/2023,HONGKONG DOLLAR,19.3397,19.3269,19.3525
7/11/2023,US DOLLAR,151.2676,151.1676,151.3676
7/11/2023,NOR KRONER,13.7222,13.7114,13.7331
7/11/2023,KES / USHS,24.8566,24.8072,24.9061
7/11/2023,DAN KRONER,21.78,21.7648,21.7952
7/11/2023,CHINESE YUAN,20.805,20.7876,20.8223
7/11/2023,SAUDI RIYAL,40.3219,40.2942,40.3496
7/11/2023,IND RUPEE,1.8175,1.8161,1.8188
6/11/2023,STG POUND,186.3262,186.1824,186.47
6/11/2023,AE DIRHAM,41.1568,41.1239,41.1896
6/11/2023,KES / BIF,18.7181,18.5874,18.8487
6/11/2023,KES / RWF,8.0906,8.0224,8.1588
6/11/2023,IND RUPEE,1.8163,1.815,1.8176
6/11/2023,KES / TSHS,16.5317,16.4877,16.5757
6/11/2023,NOR KRONER,13.7004,13.6874,13.7134
6/11/2023,S FRANC,168.579,168.411,168.7469
6/11/2023,DAN KRONER,21.7553,21.74,21.7707
6/11/2023,SINGAPORE DOLLAR,111.9076,111.8004,112.0147
6/11/2023,US DOLLAR,151.1647,151.0647,151.2647
6/11/2023,EURO,161.9018,161.7735,162.03
6/11/2023,CAN $,110.7555,110.6782,110.8329
6/11/2023,CHINESE YUAN,20.7557,20.7415,20.7698
